epoch,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
1.0,3.024766206741333,3.1034293174743652,3.101492166519165,3.152635335922241,0.19298407435417175,0.2716462314128876,0.2697058320045471,0.32085081934928894
2.0,2.3660635948181152,2.4545795917510986,2.4504947662353516,2.509293556213379,0.19305457174777985,0.28157198429107666,0.27748504281044006,0.336285263299942
3.0,1.8565512895584106,1.9486638307571411,1.9435458183288574,2.0044116973876953,0.19440636038780212,0.28651583194732666,0.2813975512981415,0.34226301312446594
4.0,1.5262254476547241,1.6155177354812622,1.6105726957321167,1.6658692359924316,0.19354698061943054,0.28283917903900146,0.2778935134410858,0.3331913948059082
5.0,1.3195360898971558,1.416108250617981,1.409395694732666,1.4658757448196411,0.1931031346321106,0.28967559337615967,0.28296270966529846,0.33944302797317505
6.0,1.1417508125305176,1.236535668373108,1.230217695236206,1.285892367362976,0.19330525398254395,0.2880905270576477,0.28177157044410706,0.33744674921035767
7.0,0.9656187295913696,1.0685179233551025,1.0604287385940552,1.1199334859848022,0.1929364800453186,0.29583367705345154,0.28774410486221313,0.3472490906715393
8.0,0.7906147837638855,0.89268958568573,0.8847817182540894,0.9439252018928528,0.19296462833881378,0.29504087567329407,0.28713297843933105,0.3462756276130676
9.0,0.6157164573669434,0.719356894493103,0.7111079692840576,0.7709808945655823,0.19296057522296906,0.2966015040874481,0.2883513569831848,0.348224014043808
10.0,0.4409266412258148,0.5423429012298584,0.5345773696899414,0.5933934450149536,0.1929607093334198,0.2943766713142395,0.28661108016967773,0.34542813897132874
11.0,0.2660675048828125,0.36792680621147156,0.3600653409957886,0.4190959930419922,0.1929553598165512,0.29481518268585205,0.2869536876678467,0.3459835350513458
12.0,0.19313591718673706,0.2952646315097809,0.2873445749282837,0.3465036451816559,0.1929551512002945,0.2950840890407562,0.2871640920639038,0.34632283449172974
13.0,0.1931295394897461,0.2952366769313812,0.28732118010520935,0.3464672267436981,0.1929539293050766,0.2950609028339386,0.28714510798454285,0.34629151225090027
14.0,0.1931673139333725,0.29630938172340393,0.2881685793399811,0.34780198335647583,0.1929527223110199,0.2960946559906006,0.2879537045955658,0.34758737683296204
15.0,0.1931479424238205,0.2963305711746216,0.288179874420166,0.34782952070236206,0.19295193254947662,0.2961339056491852,0.2879835367202759,0.34763360023498535
16.0,0.19313637912273407,0.29622286558151245,0.28809264302253723,0.347696453332901,0.19295158982276917,0.2960382401943207,0.2879079580307007,0.3475116193294525
17.0,0.1931660920381546,0.29560139775276184,0.2876131236553192,0.34690311551094055,0.19294506311416626,0.29538092017173767,0.28739234805107117,0.34668174386024475
18.0,0.19315703213214874,0.2958342730998993,0.2877942621707916,0.34720858931541443,0.19295252859592438,0.2956301271915436,0.2875894010066986,0.34700366854667664
19.0,0.1931474804878235,0.29677262902259827,0.28852567076683044,0.3483913242816925,0.19296082854270935,0.29658612608909607,0.2883389890193939,0.34820449352264404
20.0,0.19313329458236694,0.29545867443084717,0.28749510645866394,0.34674251079559326,0.19295234978199005,0.2952777147293091,0.2873140275478363,0.34656158089637756
21.0,0.19319337606430054,0.295421302318573,0.2874787747859955,0.34667494893074036,0.1929485946893692,0.29517674446105957,0.28723394870758057,0.34643039107322693
22.0,0.19316285848617554,0.2963315546512604,0.28818386793136597,0.3478309214115143,0.19295376539230347,0.29612237215042114,0.2879750430583954,0.3476216495037079
23.0,0.1931215077638626,0.29506686329841614,0.28718632459640503,0.34625527262687683,0.19295571744441986,0.294901043176651,0.2870200574398041,0.34608927369117737
24.0,0.19315709173679352,0.29586368799209595,0.28781718015670776,0.3472437560558319,0.1929503232240677,0.29565730690956116,0.28761056065559387,0.3470366299152374
25.0,0.1931573897600174,0.29553288221359253,0.287558376789093,0.34682661294937134,0.19294966757297516,0.29532507061958313,0.28735068440437317,0.34661945700645447
26.0,0.19321773946285248,0.2965153455734253,0.2883397340774536,0.3480460047721863,0.1929546743631363,0.296252578496933,0.28807663917541504,0.3477834463119507
