epoch,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
1.0,0.28315678238868713,0.323417067527771,0.3596917986869812,0.3623121380805969,0.43227115273475647,0.46102821826934814,0.48629894852638245,0.4859215319156647
2.0,0.2773875892162323,0.3276032507419586,0.364859014749527,0.3703770637512207,0.42571717500686646,0.46301811933517456,0.4877537190914154,0.49003762006759644
3.0,0.27500104904174805,0.3288787007331848,0.36674508452415466,0.373444527387619,0.42299017310142517,0.4635976254940033,0.48821672797203064,0.4915890395641327
4.0,0.27383697032928467,0.3288085162639618,0.3670438528060913,0.37421756982803345,0.42174822092056274,0.463523268699646,0.48814672231674194,0.4919457733631134
5.0,0.27242913842201233,0.33115139603614807,0.36981460452079773,0.37808334827423096,0.4197247624397278,0.4647147059440613,0.48920002579689026,0.4939870834350586
6.0,0.2716429531574249,0.3325764834880829,0.3715212643146515,0.38046500086784363,0.4185345768928528,0.46544331312179565,0.4898528754711151,0.4952370822429657
7.0,0.271199107170105,0.33271414041519165,0.37189188599586487,0.38113394379615784,0.41797855496406555,0.46550101041793823,0.48992469906806946,0.49557191133499146
8.0,0.27082985639572144,0.3324330747127533,0.3719867467880249,0.38154125213623047,0.4175347089767456,0.46534326672554016,0.4898681342601776,0.4957737922668457
9.0,0.27024972438812256,0.3347058892250061,0.3748858571052551,0.3855302929878235,0.4162548780441284,0.46653398871421814,0.4910893142223358,0.497939795255661
10.0,0.26983824372291565,0.336891233921051,0.3777119219303131,0.389350563287735,0.415181040763855,0.4676894545555115,0.4923178255558014,0.5000325441360474
11.0,0.2695186734199524,0.3390222489833832,0.38058802485466003,0.3931955397129059,0.41418543457984924,0.46882158517837524,0.4936014711856842,0.5021615028381348
12.0,0.2693232297897339,0.33818283677101135,0.3802010715007782,0.39286693930625916,0.41406887769699097,0.46833890676498413,0.4933900237083435,0.501970112323761
13.0,0.26914170384407043,0.3386129140853882,0.3811390995979309,0.3941603899002075,0.41368409991264343,0.46854081749916077,0.4938066303730011,0.502683162689209
14.0,0.2689756751060486,0.3391083776950836,0.38218268752098083,0.3955851197242737,0.41329553723335266,0.4687756299972534,0.4942771792411804,0.503470242023468
15.0,0.26865947246551514,0.33757585287094116,0.3812694847583771,0.3946229815483093,0.413187175989151,0.4678914248943329,0.49380967020988464,0.502920389175415
16.0,0.2684895992279053,0.33264046907424927,0.3764447271823883,0.38865625858306885,0.4141349792480469,0.46518099308013916,0.4915625751018524,0.4996151328086853
17.0,0.26777884364128113,0.335477739572525,0.38074082136154175,0.39421093463897705,0.4124383330345154,0.46658217906951904,0.4935104548931122,0.5026523470878601
18.0,0.2673596143722534,0.329552561044693,0.3750104606151581,0.38717275857925415,0.41335704922676086,0.4633401930332184,0.4908345937728882,0.4987856149673462
19.0,0.2671431601047516,0.3257698118686676,0.371389240026474,0.38270336389541626,0.41401541233062744,0.4612872302532196,0.48919159173965454,0.496364951133728
20.0,0.2660978138446808,0.33142679929733276,0.3789175748825073,0.3924541473388672,0.4111703336238861,0.46410733461380005,0.492546409368515,0.5016456246376038
21.0,0.26568177342414856,0.33063802123069763,0.37851521372795105,0.3921546936035156,0.41082826256752014,0.4636194407939911,0.4923073947429657,0.5014751553535461
22.0,0.2654295265674591,0.328342467546463,0.37604132294654846,0.3892019987106323,0.4111586809158325,0.462369829416275,0.4911273717880249,0.4998696446418762
23.0,0.2660638391971588,0.3397384583950043,0.38914427161216736,0.4054071307182312,0.4086412787437439,0.4684026837348938,0.4973519444465637,0.5088045597076416
24.0,0.26586735248565674,0.34227779507637024,0.39411938190460205,0.41188326478004456,0.40700608491897583,0.46957555413246155,0.49968743324279785,0.512331485748291
25.0,0.26557251811027527,0.32889220118522644,0.3760915994644165,0.38926953077316284,0.4113178849220276,0.4626713693141937,0.49115321040153503,0.49992260336875916
26.0,0.2647652328014374,0.33323708176612854,0.3827045261859894,0.3978881239891052,0.40878966450691223,0.4647811949253082,0.4941481053829193,0.5045952796936035
27.0,0.2655457854270935,0.31384730339050293,0.36038410663604736,0.3699938654899597,0.415058970451355,0.45491260290145874,0.4839693307876587,0.4896376430988312
28.0,0.2650015354156494,0.3393104374408722,0.39086684584617615,0.40818026661872864,0.40686938166618347,0.46788927912712097,0.49803274869918823,0.5102626085281372
29.0,0.26618218421936035,0.3062794506549835,0.35236236453056335,0.36010685563087463,0.41759365797042847,0.4512925446033478,0.48043107986450195,0.4845556318759918
30.0,0.26243194937705994,0.3170568645000458,0.36671286821365356,0.3790423274040222,0.410225510597229,0.45611634850502014,0.4864771068096161,0.4943917691707611
31.0,0.2647280693054199,0.31434503197669983,0.361322283744812,0.37148362398147583,0.41400015354156494,0.45504915714263916,0.48428747057914734,0.49041977524757385
32.0,0.26459628343582153,0.31042176485061646,0.35756784677505493,0.3669986426830292,0.41477522253990173,0.4531070590019226,0.48256272077560425,0.4881059527397156
33.0,0.26276323199272156,0.3208773136138916,0.3704474866390228,0.38352715969085693,0.4096369445323944,0.4580743908882141,0.4882265627384186,0.4967796504497528
34.0,0.26475992798805237,0.3412471115589142,0.3966720700263977,0.4159785509109497,0.40468689799308777,0.46855559945106506,0.5007469058036804,0.5144811272621155
35.0,0.26186078786849976,0.3278084695339203,0.3819820284843445,0.39856934547424316,0.40543803572654724,0.4612615704536438,0.4934772551059723,0.5048540234565735
36.0,0.2616245746612549,0.3228043019771576,0.3747701942920685,0.38950419425964355,0.40719008445739746,0.458804726600647,0.49008414149284363,0.4999806582927704
37.0,0.2654258608818054,0.30560943484306335,0.3520773649215698,0.3601108491420746,0.41691431403160095,0.4508684277534485,0.48021402955055237,0.48457443714141846
38.0,0.26209157705307007,0.30400872230529785,0.35333389043807983,0.36305877566337585,0.4131479561328888,0.4497620761394501,0.48039907217025757,0.4861927628517151
39.0,0.2629804015159607,0.333869993686676,0.3883204162120819,0.406075656414032,0.40500208735466003,0.4645061790943146,0.4965873956680298,0.5089705586433411
40.0,0.26466691493988037,0.30080026388168335,0.3480786383152008,0.35572561621665955,0.41706910729408264,0.4485783278942108,0.4783766567707062,0.4824667274951935
41.0,0.2655618488788605,0.3011983036994934,0.34791696071624756,0.3551659882068634,0.4180067181587219,0.4488387405872345,0.47840365767478943,0.4821545481681824
42.0,0.26148471236228943,0.31720587611198425,0.36821508407592773,0.3813821077346802,0.4087850749492645,0.45598798990249634,0.48705530166625977,0.4956425428390503
43.0,0.2615410089492798,0.3191611170768738,0.37050819396972656,0.38419774174690247,0.4082476496696472,0.45696619153022766,0.4881173074245453,0.4971342384815216
44.0,0.2631557583808899,0.3065759539604187,0.3550633490085602,0.3646250367164612,0.4138868749141693,0.4510595500469208,0.48127564787864685,0.4869479835033417
45.0,0.26244279742240906,0.3090330958366394,0.35807687044143677,0.3685449957847595,0.4124091863632202,0.45212429761886597,0.4825420081615448,0.48895683884620667
46.0,0.2617364823818207,0.30821317434310913,0.35805320739746094,0.3688405156135559,0.411648690700531,0.4516434967517853,0.48246094584465027,0.48912885785102844
47.0,0.2611613869667053,0.31741946935653687,0.36896926164627075,0.38246503472328186,0.4082252085208893,0.45601293444633484,0.4873657524585724,0.49622437357902527
48.0,0.2615552246570587,0.30543044209480286,0.3554738461971283,0.36584579944610596,0.4120746850967407,0.4503171741962433,0.4812980592250824,0.48762330412864685
49.0,0.26404592394828796,0.3076717257499695,0.3553725481033325,0.36460450291633606,0.41474512219429016,0.451671302318573,0.48151084780693054,0.4869057834148407
50.0,0.2616752088069916,0.32232561707496643,0.3744671940803528,0.3890727758407593,0.4073512852191925,0.458534836769104,0.48996102809906006,0.49975982308387756
51.0,0.26173877716064453,0.322025328874588,0.3738132119178772,0.3882162272930145,0.4076043367385864,0.45840123295783997,0.48966336250305176,0.4992997348308563
52.0,0.2622835636138916,0.32890424132347107,0.38252711296081543,0.3989696204662323,0.4058484733104706,0.4618789851665497,0.49379485845565796,0.5050954222679138
53.0,0.2628023326396942,0.3319821059703827,0.38587313890457153,0.40297284722328186,0.4055389165878296,0.4635193943977356,0.49542346596717834,0.5072824954986572
54.0,0.2620810866355896,0.31539982557296753,0.36558324098587036,0.37785017490386963,0.4101511538028717,0.45516082644462585,0.4859151244163513,0.4937933087348938
55.0,0.259511262178421,0.3110028803348541,0.3654944896697998,0.3791886270046234,0.4072033762931824,0.45253708958625793,0.48562750220298767,0.49462535977363586
56.0,0.2610960304737091,0.31803327798843384,0.3702644109725952,0.3841097354888916,0.40781229734420776,0.4562690556049347,0.48796290159225464,0.4971126616001129
