epoch,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
1.0,0.002915583550930023,0.002866004128009081,0.0029796462040394545,0.0029730317182838917,0.043469153344631195,0.04375040903687477,0.04397157207131386,0.04371487349271774
2.0,0.004258845467120409,0.003257939824834466,0.004204321186989546,0.0054808128625154495,0.051098741590976715,0.04437602311372757,0.050416767597198486,0.05915592983365059
3.0,0.0035049370490014553,0.0033999518491327763,0.0035609921906143427,0.003645980264991522,0.04746973142027855,0.04734523221850395,0.04769035428762436,0.0481082908809185
4.0,0.0034576263278722763,0.003511832095682621,0.0035349144600331783,0.003416732419282198,0.04744647815823555,0.04847327247262001,0.04793751239776611,0.046878132969141006
5.0,0.003414994105696678,0.003116633975878358,0.003447137773036957,0.003771285293623805,0.046499256044626236,0.04497033730149269,0.04649040848016739,0.048649225383996964
6.0,0.0035487015265971422,0.003502346109598875,0.003611844964325428,0.0036249286495149136,0.04786737263202667,0.04816135764122009,0.04815814644098282,0.04806019738316536
7.0,0.0035080937668681145,0.0029296595603227615,0.003504097694531083,0.004183436743915081,0.046609435230493546,0.04296955466270447,0.04628366976976395,0.05102073401212692
8.0,0.003725824411958456,0.002965983934700489,0.0036932204384356737,0.004598235711455345,0.0478125624358654,0.042805153876543045,0.047249846160411835,0.053565531969070435
9.0,0.0024344082921743393,0.0019726359751075506,0.002424956066533923,0.0030345877166837454,0.038668081164360046,0.035231806337833405,0.03870115801692009,0.04363635927438736
10.0,0.001975948689505458,0.00221413210965693,0.0021301161032170057,0.001794734038412571,0.03644860163331032,0.0393938273191452,0.037987008690834045,0.034553345292806625
11.0,0.0016063506482169032,0.002525998279452324,0.002069012261927128,0.0015229262644425035,0.03325953707098961,0.043272342532873154,0.038065679371356964,0.03220171481370926
12.0,0.003044928191229701,0.0016813434194773436,0.0023184469901025295,0.0030974915716797113,0.0471121110022068,0.03299381211400032,0.039673447608947754,0.04738488420844078
13.0,0.003042250871658325,0.0016599269583821297,0.002292024902999401,0.0030527350027114153,0.04730707034468651,0.032871145755052567,0.0395578034222126,0.04718553274869919
14.0,0.004400178324431181,0.006184565369039774,0.005223593674600124,0.003925966564565897,0.05830983817577362,0.07180102169513702,0.06414057314395905,0.054010480642318726
15.0,0.0011612963862717152,0.0019715973176062107,0.0015819624532014132,0.0011597065022215247,0.027969691902399063,0.03783433511853218,0.03299367055296898,0.028001580387353897
16.0,0.0020060595124959946,0.0030578812584280968,0.0025246997829526663,0.001815499970689416,0.03753669932484627,0.04818059131503105,0.042478904128074646,0.03524972125887871
17.0,0.0009977866429835558,0.0014219413278624415,0.0012327609583735466,0.000989130581729114,0.02561597153544426,0.03150554373860359,0.028884591534733772,0.025686070322990417
