epoch,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
1.0,0.274891197681427,0.3307421803474426,0.41481804847717285,0.3850073218345642,0.4227704405784607,0.4633498191833496,0.5268903970718384,0.5024195909500122
2.0,0.2670345604419708,0.3426085114479065,0.4306615889072418,0.40239742398262024,0.4136698842048645,0.46867191791534424,0.5339463353157043,0.5118234753608704
3.0,0.2635047733783722,0.35065481066703796,0.440037339925766,0.4123453199863434,0.4093606173992157,0.4727228581905365,0.5381006598472595,0.5173113942146301
4.0,0.2621303200721741,0.3508947491645813,0.4392480254173279,0.4111679494380951,0.40833917260169983,0.47275716066360474,0.5374878644943237,0.5167548656463623
5.0,0.2611487805843353,0.35046830773353577,0.43760472536087036,0.40912511944770813,0.40776747465133667,0.4724794030189514,0.5365251302719116,0.5156921148300171
6.0,0.2597350776195526,0.35471415519714355,0.4418729841709137,0.4133206307888031,0.40602684020996094,0.47471150755882263,0.5383955240249634,0.5180246233940125
7.0,0.2589923143386841,0.35610631108283997,0.44274842739105225,0.4138203263282776,0.40531405806541443,0.4754418134689331,0.5386935472488403,0.5183588862419128
8.0,0.25870266556739807,0.3549303710460663,0.44056859612464905,0.411121666431427,0.405396044254303,0.4748200476169586,0.5375837087631226,0.5169441103935242
9.0,0.258179634809494,0.3568161129951477,0.4422266483306885,0.4124326705932617,0.4047519862651825,0.4758477509021759,0.5382859110832214,0.5177145004272461
10.0,0.2584596276283264,0.35335773229599,0.4371940791606903,0.4069195091724396,0.4057263731956482,0.4740251898765564,0.5358291268348694,0.5147870779037476
11.0,0.2577187716960907,0.3575788736343384,0.4418860673904419,0.4114690124988556,0.4044667184352875,0.47628217935562134,0.5379628539085388,0.5172749757766724
12.0,0.2575635015964508,0.3582734167575836,0.4421371817588806,0.4114744961261749,0.404335081577301,0.4766683280467987,0.538010835647583,0.5173200964927673
