,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
0,0.0251917280256748,0.0303923785686492,0.0356119312345981,0.0365237593650817,0.1065060421824455,0.1268826127052307,0.1238141134381294,0.1320878863334655
1,0.0188517477363348,0.0191973969340324,0.02533795312047,0.0261240284889936,0.0783700048923492,0.0822167322039604,0.0830513909459114,0.0906388312578201
2,0.0181545484811067,0.0188979227095842,0.0250867567956447,0.0261276885867118,0.06943891197443,0.0780592486262321,0.078684389591217,0.0867918506264686
3,0.0179153010249137,0.0180447567254304,0.0244180783629417,0.0249639991670846,0.0703244060277938,0.0737523734569549,0.0768741518259048,0.0830586105585098
4,0.0182734858244657,0.0186800826340913,0.0249290894716978,0.0260793305933475,0.0665546506643295,0.0744239315390586,0.0754689127206802,0.083089455962181
5,0.0181193705648183,0.0179728176444768,0.0243482273072004,0.0246404837816953,0.0758030638098716,0.0743582919239997,0.0790721550583839,0.0846206322312355
6,0.0177126619964838,0.0182316899299621,0.0244186352938413,0.0252711363136768,0.0681097880005836,0.0746927186846733,0.0766303166747093,0.0834762901067733
7,0.0173757839947938,0.0177593063563108,0.0239231027662754,0.0244903471320867,0.0709946304559707,0.0741282105445861,0.0772200226783752,0.0835880190134048
8,0.0173997431993484,0.017765499651432,0.0239833574742078,0.0246112756431102,0.0705749094486236,0.0730967745184898,0.0769156366586685,0.0835175812244415
9,0.0174094438552856,0.0184433776885271,0.0243113450706005,0.0249309595674276,0.0743564069271087,0.081284612417221,0.0822208821773529,0.0889447629451751
10,0.0173362307250499,0.0183466747403144,0.0242486707866191,0.0250455122441053,0.0715351328253746,0.078811340034008,0.0799008458852768,0.0867864266037941
11,0.0171237643808126,0.0178185310214757,0.02387161180377,0.0244543179869651,0.0708198025822639,0.0755950585007667,0.0783160924911499,0.0848842486739158
12,0.0170493815094232,0.0177279524505138,0.0237706713378429,0.0245024971663951,0.0699818134307861,0.0741239711642265,0.0770329684019088,0.0840041413903236
13,0.0171114299446344,0.0181634463369846,0.0240884758532047,0.0249899700284004,0.0691593810915947,0.076053500175476,0.0778364017605781,0.085087239742279
14,0.0169890709221363,0.0179209616035223,0.023847971111536,0.0245241504162549,0.0713988989591598,0.0761276707053184,0.078478530049324,0.0851465687155723
15,0.0169951487332582,0.0177453532814979,0.0238490160554647,0.0245981346815824,0.0701842680573463,0.0741675347089767,0.0777450874447822,0.0846951752901077
16,0.0169612001627683,0.0182169117033481,0.0240785591304302,0.0249496344476938,0.0703172609210014,0.0775507465004921,0.0792498886585235,0.0864192247390747
17,0.0170441586524248,0.0185959264636039,0.0242676474153995,0.024968871846795,0.0731692612171173,0.0818003639578819,0.0821744352579116,0.088872343301773
18,0.016788451001048,0.017902422696352,0.0239099618047475,0.0246331989765167,0.0698998570442199,0.075650431215763,0.0787622481584549,0.0852844044566154
19,0.0169256888329982,0.0176330748945474,0.0237255655229091,0.0244118943810462,0.0716740190982818,0.0730494037270546,0.0776470750570297,0.0845319554209709
20,0.0168619714677333,0.0175081230700016,0.0236046109348535,0.0239861905574798,0.0750109776854515,0.0752549022436142,0.0798458755016326,0.0857289209961891
21,0.016746362671256,0.0178415644913911,0.0238824840635061,0.0248361751437187,0.0688449218869209,0.0728408321738243,0.076945923268795,0.0842716097831726
22,0.0169675033539533,0.0183053445070981,0.0243176762014627,0.0252903122454881,0.0693147256970405,0.0767969340085983,0.0796091631054878,0.0865368321537971
23,0.0165391210466623,0.0180880036205053,0.0239275228232145,0.0245976466685533,0.0701647102832794,0.0773303210735321,0.0793933048844337,0.0857570022344589
