epoch,TRAIN_MSE,DEV_MSE,TEST1_MSE,TEST2_MSE,TRAIN_MAE,DEV_MAE,TEST1_MAE,TEST2_MAE
1.0,3.792720317840576,3.8150017261505127,3.8883755207061768,3.9108493328094482,0.2748829424381256,0.29716381430625916,0.3705386519432068,0.39301130175590515
2.0,3.6708004474639893,3.698291063308716,3.775383710861206,3.8018414974212646,0.27034711837768555,0.29783520102500916,0.3749296963214874,0.40138718485832214
3.0,3.5526304244995117,3.5839247703552246,3.663766622543335,3.6931447982788086,0.26772743463516235,0.2990224361419678,0.37886449694633484,0.40824320912361145
4.0,3.4368691444396973,3.470407485961914,3.551868200302124,3.5829060077667236,0.2663229703903198,0.2998618483543396,0.38132351636886597,0.41236066818237305
5.0,3.323972702026367,3.3582446575164795,3.440204381942749,3.471714973449707,0.26572105288505554,0.29999229311943054,0.3819516897201538,0.41346484422683716
6.0,3.213292121887207,3.2481849193573,3.33064341545105,3.3625118732452393,0.2652778625488281,0.3001703917980194,0.3826291859149933,0.41449859738349915
7.0,3.1036298274993896,3.138582706451416,3.2211225032806396,3.252887725830078,0.26509082317352295,0.30004164576530457,0.3825830817222595,0.41434982419013977
8.0,2.996375560760498,3.0314602851867676,3.11417293548584,3.1459333896636963,0.2649884521961212,0.3000708818435669,0.3827838599681854,0.41454607248306274
9.0,2.892545461654663,2.9290685653686523,3.0129752159118652,3.045848846435547,0.26469340920448303,0.30121758580207825,0.38512420654296875,0.4179967939853668
10.0,2.792271137237549,2.829962730407715,2.914841890335083,2.948636054992676,0.26458796858787537,0.3022814095020294,0.38715898990631104,0.4209539294242859
11.0,2.693854570388794,2.732213258743286,2.817659378051758,2.8520171642303467,0.26460951566696167,0.3029685616493225,0.3884158432483673,0.42277196049690247
12.0,2.5991790294647217,2.638306140899658,2.7244086265563965,2.7594332695007324,0.2647494375705719,0.3038765490055084,0.3899810314178467,0.4250044822692871
13.0,2.507620334625244,2.5469512939453125,2.633317232131958,2.668572425842285,0.2649611234664917,0.30429133772850037,0.3906572759151459,0.4259125888347626
14.0,2.4219419956207275,2.4615321159362793,2.548151731491089,2.5837275981903076,0.2650276720523834,0.3046175539493561,0.3912380337715149,0.42681294679641724
15.0,2.3387343883514404,2.3783860206604004,2.4651246070861816,2.500880718231201,0.2651919424533844,0.3048448860645294,0.39158278703689575,0.42733854055404663
16.0,2.2609503269195557,2.3006155490875244,2.3874049186706543,2.423295259475708,0.2653331458568573,0.3049984574317932,0.39178696274757385,0.4276762902736664
17.0,2.1833040714263916,2.2229034900665283,2.309694528579712,2.345672845840454,0.2655036151409149,0.30510303378105164,0.39189445972442627,0.4278716742992401
18.0,2.105813980102539,2.145219326019287,2.231934070587158,2.267918825149536,0.26573827862739563,0.3051428198814392,0.3918588161468506,0.42784395813941956
19.0,2.0285537242889404,2.067780017852783,2.1544272899627686,2.1904478073120117,0.2660627067089081,0.3052883744239807,0.39193591475486755,0.42795684933662415
20.0,1.9574062824249268,1.9965678453445435,2.0832366943359375,2.1193923950195312,0.26645904779434204,0.30562204122543335,0.392290860414505,0.42844584584236145
21.0,1.8940889835357666,1.9332998991012573,2.020106554031372,2.0564558506011963,0.2667766213417053,0.3059878945350647,0.39279448986053467,0.42914462089538574
22.0,1.8383400440216064,1.8773573637008667,1.9641187191009521,2.000408172607422,0.26711195707321167,0.30612897872924805,0.39288976788520813,0.4291795492172241
23.0,1.7847496271133423,1.8236922025680542,1.9104827642440796,1.9468148946762085,0.26750561594963074,0.3064490556716919,0.3932391405105591,0.42957136034965515
24.0,1.7352659702301025,1.7742213010787964,1.8610919713974,1.897537112236023,0.26798543334007263,0.3069407045841217,0.39381083846092224,0.4302564561367035
